Booking_Status,Vehicle_Type,Booking_Value,day_of_week,hour
Canceled by Driver,eBike,172,Tuesday,19
Success,Prime SUV,250,Monday,4
Success,Mini,452,Saturday,12
Canceled by Driver,Mini,136,Tuesday,2
Success,Mini,516,Sunday,5
Success,Mini,317,Thursday,4
Canceled by Customer,Bike,294,Monday,12
Success,Prime SUV,792,Friday,20
Success,Bike,157,Tuesday,14
Driver Not Found,Auto,473,Tuesday,9
Success,eBike,482,Tuesday,16
Success,Prime Plus,430,Tuesday,11
Success,Mini,422,Thursday,8
Canceled by Driver,eBike,791,Wednesday,0
Canceled by Customer,Prime Sedan,328,Sunday,19
Success,Bike,296,Wednesday,21
Success,Prime Plus,264,Saturday,10
Success,Prime SUV,106,Friday,6
Canceled by Customer,Prime Sedan,265,Sunday,17
Success,Prime Plus,1427,Wednesday,19
Success,Prime Sedan,984,Friday,3
Success,eBike,104,Wednesday,6
Success,Prime SUV,269,Wednesday,9
Success,Prime Sedan,274,Friday,0
Success,eBike,1110,Tuesday,16
Canceled by Driver,Bike,782,Saturday,16
Success,eBike,2176,Thursday,6
Success,Auto,340,Tuesday,7
Success,eBike,591,Thursday,19
Canceled by Driver,Prime Plus,212,Monday,4
Success,Bike,458,Wednesday,10
Canceled by Driver,Mini,350,Sunday,10
Driver Not Found,eBike,327,Friday,6
Success,Prime SUV,593,Monday,19
Canceled by Driver,Auto,127,Sunday,9
Driver Not Found,Bike,256,Wednesday,14
Success,Mini,419,Monday,11
Canceled by Customer,Auto,2068,Sunday,11
Canceled by Driver,Bike,985,Saturday,9
Success,Mini,758,Friday,3
Success,Prime Sedan,392,Saturday,21
Success,Auto,659,Wednesday,8
Canceled by Customer,Mini,409,Wednesday,0
Success,Mini,343,Sunday,19
Success,Auto,212,Tuesday,8
Success,eBike,303,Wednesday,15
Success,Prime Plus,961,Saturday,13
Success,Auto,434,Monday,5
Canceled by Driver,Prime Sedan,159,Monday,7
Canceled by Customer,Mini,345,Tuesday,22
Success,Prime SUV,364,Wednesday,4
Canceled by Customer,Prime Plus,238,Monday,14
Canceled by Customer,Bike,411,Friday,6
Success,Prime Sedan,682,Sunday,7
Success,Bike,1388,Saturday,18
Canceled by Driver,Prime Sedan,2285,Tuesday,5
Canceled by Driver,Prime Sedan,278,Friday,19
Success,Auto,284,Friday,19
Success,eBike,764,Monday,0
Success,eBike,440,Wednesday,4
Driver Not Found,Bike,158,Monday,0
Success,Prime SUV,313,Tuesday,22
Canceled by Driver,Mini,437,Friday,22
Success,eBike,464,Friday,17
Driver Not Found,Bike,373,Saturday,13
Success,Mini,105,Monday,16
Success,Bike,338,Wednesday,17
Success,Prime Plus,483,Monday,20
Success,Prime Sedan,1880,Wednesday,23
Success,Bike,442,Thursday,13
Canceled by Driver,Bike,448,Sunday,10
Success,Auto,220,Saturday,20
Success,Auto,316,Saturday,21
Canceled by Driver,Auto,986,Friday,2
Canceled by Driver,Prime Sedan,743,Wednesday,22
Success,Prime Plus,845,Thursday,16
Success,Mini,527,Tuesday,16
Success,Prime Sedan,1759,Monday,15
Success,Prime SUV,328,Monday,16
Driver Not Found,eBike,479,Thursday,23
Success,Auto,1191,Wednesday,6
Success,Prime Sedan,635,Monday,20
Success,Bike,281,Sunday,6
Canceled by Customer,Prime Plus,583,Tuesday,22
Success,Bike,484,Tuesday,1
Success,Auto,491,Wednesday,2
Success,Prime Sedan,1133,Wednesday,11
Success,Mini,424,Thursday,0
Success,Prime Sedan,270,Sunday,19
Canceled by Driver,Prime Plus,218,Friday,2
Canceled by Driver,Prime Plus,171,Thursday,17
Success,Prime Plus,208,Tuesday,22
Canceled by Driver,eBike,148,Thursday,0
Success,eBike,494,Friday,12
Success,Prime SUV,266,Thursday,16
Success,Prime Plus,220,Thursday,18
Canceled by Customer,Bike,1653,Tuesday,12
Success,Prime Plus,544,Sunday,4
Driver Not Found,Prime SUV,1175,Sunday,12
Driver Not Found,Bike,397,Monday,20
Success,Bike,486,Sunday,5
Canceled by Driver,Auto,877,Thursday,14
Success,Prime Plus,308,Thursday,16
Success,Prime SUV,767,Monday,6
Success,Mini,458,Sunday,3
Success,eBike,396,Monday,8
Success,Prime Sedan,266,Sunday,11
Driver Not Found,Prime SUV,306,Sunday,0
Success,Prime Sedan,453,Friday,8
Success,Mini,2085,Thursday,13
Success,eBike,498,Thursday,17
Success,Mini,111,Friday,23
Driver Not Found,Prime Plus,598,Saturday,8
Canceled by Customer,eBike,136,Tuesday,12
Canceled by Driver,Prime Plus,647,Friday,0
Success,Mini,976,Saturday,7
Driver Not Found,Prime Sedan,337,Sunday,16
Canceled by Driver,Auto,281,Friday,14
Canceled by Driver,eBike,351,Friday,21
Success,Bike,496,Tuesday,17
Driver Not Found,Bike,389,Tuesday,20
Canceled by Driver,Bike,124,Monday,11
Success,Prime Sedan,435,Saturday,4
Success,Mini,216,Wednesday,7
Canceled by Driver,Mini,290,Monday,3
Success,Bike,610,Tuesday,3
Canceled by Driver,Prime SUV,898,Saturday,6
Success,eBike,352,Tuesday,6
Canceled by Customer,eBike,187,Sunday,17
Canceled by Driver,Prime Sedan,132,Monday,19
Success,Prime SUV,183,Monday,8
Success,Prime Sedan,463,Wednesday,10
Success,Mini,2339,Thursday,4
Success,Prime SUV,399,Friday,4
Success,Prime Plus,480,Monday,14
Driver Not Found,Prime Plus,1312,Monday,18
Success,eBike,638,Sunday,19
Success,Prime Plus,169,Monday,21
Driver Not Found,Auto,941,Saturday,10
Success,Auto,631,Friday,6
Success,Bike,206,Tuesday,12
Driver Not Found,eBike,655,Wednesday,23
Success,Prime SUV,360,Wednesday,22
Success,Auto,299,Sunday,13
Success,Prime Plus,294,Monday,16
Success,Bike,183,Sunday,18
Driver Not Found,Prime Sedan,234,Saturday,0
Canceled by Customer,Prime Sedan,264,Monday,19
Success,Bike,164,Wednesday,14
Canceled by Driver,Mini,856,Thursday,23
Success,Auto,428,Thursday,7
Success,Prime Sedan,145,Monday,13
Success,Prime Plus,868,Wednesday,10
Success,Prime Sedan,2159,Wednesday,3
Success,Bike,976,Thursday,14
Success,eBike,172,Wednesday,11
Success,eBike,374,Tuesday,23
Canceled by Driver,Prime SUV,180,Wednesday,4
Success,eBike,337,Sunday,6
Canceled by Customer,Mini,323,Wednesday,6
Success,Prime SUV,241,Thursday,23
Success,eBike,2372,Friday,2
Success,Prime Plus,252,Monday,4
Success,eBike,1637,Wednesday,10
Canceled by Driver,Bike,320,Friday,17
Success,Bike,692,Tuesday,17
Success,eBike,402,Monday,5
Success,Prime SUV,313,Thursday,2
Success,Prime Plus,113,Sunday,1
Success,eBike,450,Wednesday,9
Success,Prime Sedan,154,Monday,21
Driver Not Found,Mini,158,Sunday,20
Success,Prime SUV,161,Tuesday,15
Success,Prime Sedan,292,Monday,18
Success,Bike,377,Monday,8
Success,Prime SUV,359,Thursday,6
Success,Prime Plus,543,Monday,17
Canceled by Driver,Mini,473,Tuesday,16
Canceled by Driver,Prime SUV,799,Monday,21
Canceled by Driver,Bike,170,Wednesday,17
Canceled by Driver,Prime Sedan,2935,Wednesday,21
Driver Not Found,Bike,236,Monday,21
Driver Not Found,Prime Plus,530,Friday,16
Canceled by Driver,Prime SUV,819,Monday,19
Success,Auto,128,Thursday,5
Success,Prime Plus,213,Saturday,17
Canceled by Customer,Prime SUV,483,Monday,14
Success,Auto,426,Sunday,10
Canceled by Customer,Prime Plus,179,Thursday,1
Canceled by Customer,Bike,116,Thursday,3
Canceled by Customer,Mini,191,Monday,15
Driver Not Found,Bike,307,Friday,8
Canceled by Customer,eBike,320,Wednesday,9
Success,Prime Sedan,511,Monday,22
Canceled by Driver,Prime Sedan,584,Saturday,10
Driver Not Found,Prime Plus,963,Monday,2
Success,Bike,132,Wednesday,3
Success,Prime Sedan,363,Sunday,23
Canceled by Driver,Prime Sedan,279,Tuesday,21
Driver Not Found,Prime Sedan,130,Friday,7
Driver Not Found,Bike,122,Monday,19
Canceled by Customer,Auto,308,Thursday,21
Canceled by Driver,eBike,151,Wednesday,23
Success,Prime Plus,401,Monday,14
Canceled by Driver,Prime Plus,989,Saturday,19
Canceled by Driver,Auto,316,Wednesday,5
Success,Auto,824,Friday,9
Canceled by Driver,Mini,186,Monday,8
Success,Auto,104,Wednesday,18
Success,Auto,480,Friday,17
Success,eBike,236,Monday,4
Success,Auto,349,Monday,21
Success,Prime Sedan,487,Thursday,20
Success,Bike,367,Wednesday,3
Success,Prime Plus,412,Monday,17
Success,Prime SUV,250,Wednesday,17
Canceled by Customer,Bike,434,Friday,15
Canceled by Driver,Prime Sedan,485,Sunday,7
Canceled by Customer,Mini,442,Monday,17
Success,Bike,189,Monday,12
Success,eBike,953,Wednesday,7
Success,Bike,118,Sunday,12
Canceled by Customer,Prime SUV,191,Monday,5
Success,Prime Plus,2271,Saturday,1
Success,Prime Plus,104,Tuesday,0
Success,Bike,381,Monday,13
Success,Prime Plus,217,Sunday,3
Success,Mini,467,Saturday,22
Canceled by Customer,Bike,168,Tuesday,11
Success,Prime SUV,493,Friday,14
Success,Prime Sedan,249,Tuesday,9
Canceled by Driver,Auto,248,Thursday,11
Success,Auto,826,Monday,3
Driver Not Found,eBike,306,Saturday,22
Canceled by Driver,Bike,880,Tuesday,0
Canceled by Driver,Prime Plus,699,Tuesday,1
Canceled by Customer,Prime Plus,324,Tuesday,0
Success,Auto,436,Monday,18
Success,Mini,550,Monday,14
Canceled by Driver,Mini,223,Monday,15
Canceled by Customer,Bike,1133,Friday,19
Canceled by Driver,Auto,872,Friday,7
Success,Prime Plus,439,Monday,20
Success,Auto,277,Saturday,9
Success,Auto,127,Thursday,10
Success,Prime SUV,1467,Wednesday,21
Success,Prime Plus,902,Monday,5
Canceled by Driver,Mini,308,Thursday,0
Canceled by Driver,Mini,428,Tuesday,10
Canceled by Driver,Prime SUV,663,Monday,22
Success,Prime Sedan,152,Friday,9
Driver Not Found,Prime SUV,207,Friday,8
Success,Prime Sedan,421,Tuesday,1
Success,Bike,256,Monday,9
Canceled by Customer,Mini,446,Friday,0
Driver Not Found,Bike,399,Tuesday,19
Success,Prime Plus,461,Thursday,6
Canceled by Driver,Auto,326,Thursday,18
Success,Auto,625,Tuesday,9
Success,Prime Sedan,260,Friday,22
Success,eBike,396,Thursday,17
Success,Auto,386,Tuesday,13
Success,Prime Plus,981,Friday,9
Success,Prime Sedan,320,Sunday,12
Canceled by Driver,Bike,2068,Thursday,19
Success,Prime Plus,972,Wednesday,17
Canceled by Driver,Prime Sedan,2017,Wednesday,21
Success,Prime Sedan,296,Wednesday,20
Success,Mini,545,Thursday,11
Success,Prime SUV,315,Thursday,23
Success,Prime SUV,338,Sunday,0
Success,Prime SUV,938,Thursday,18
Canceled by Driver,eBike,119,Wednesday,0
Canceled by Driver,Mini,305,Friday,15
Canceled by Driver,Prime Sedan,991,Saturday,12
Driver Not Found,Prime Sedan,329,Saturday,9
Canceled by Customer,Prime SUV,468,Sunday,23
Success,eBike,340,Thursday,23
Canceled by Driver,Prime SUV,203,Tuesday,17
Canceled by Driver,Auto,439,Tuesday,23
Success,Bike,753,Thursday,17
Canceled by Customer,eBike,496,Thursday,16
Canceled by Driver,Prime Sedan,102,Friday,13
Success,Auto,328,Thursday,17
Canceled by Driver,Prime Plus,395,Tuesday,12
Success,Prime Plus,706,Sunday,18
Success,eBike,190,Tuesday,2
Success,Bike,508,Wednesday,15
Success,Bike,296,Saturday,6
Success,Auto,199,Monday,17
Success,Auto,396,Tuesday,2
Success,Bike,1888,Friday,8
Canceled by Driver,Bike,110,Monday,2
Success,Prime SUV,491,Sunday,1
Canceled by Driver,eBike,260,Tuesday,0
Canceled by Driver,Bike,316,Saturday,8
Success,Prime SUV,945,Monday,18
Canceled by Driver,Mini,481,Tuesday,15
Success,Mini,685,Monday,7
Success,Prime Sedan,420,Monday,8
Success,Mini,414,Sunday,16
Canceled by Customer,Auto,320,Friday,4
Driver Not Found,Prime Plus,880,Tuesday,1
Canceled by Driver,Mini,979,Thursday,7
Canceled by Customer,Prime SUV,368,Sunday,10
Success,Prime Sedan,1708,Wednesday,6
Success,Prime SUV,957,Thursday,10
Canceled by Driver,Prime Sedan,516,Friday,9
Success,Prime Plus,291,Monday,5
Canceled by Customer,Prime Plus,200,Friday,23
Success,Mini,118,Saturday,15
Canceled by Driver,Prime Sedan,117,Monday,11
Driver Not Found,Bike,579,Sunday,5
Success,eBike,416,Thursday,21
Canceled by Driver,eBike,146,Friday,19
Driver Not Found,Prime Sedan,798,Monday,21
Success,Prime Sedan,496,Thursday,6
Canceled by Driver,eBike,492,Sunday,20
Success,eBike,640,Tuesday,12
Success,Prime Sedan,368,Wednesday,6
Success,Auto,228,Friday,21
Success,Prime Sedan,252,Thursday,14
Canceled by Customer,Auto,496,Wednesday,15
Success,Auto,809,Friday,12
Success,Prime SUV,337,Tuesday,20
Success,Prime Plus,258,Monday,7
Canceled by Driver,Prime Sedan,376,Monday,15
Canceled by Customer,Prime Sedan,103,Wednesday,23
Canceled by Driver,Auto,619,Friday,0
Driver Not Found,Prime SUV,445,Tuesday,2
Success,Prime Plus,340,Saturday,14
Success,Auto,529,Wednesday,5
Success,Prime Plus,412,Wednesday,10
Success,Prime SUV,145,Monday,10
Success,eBike,808,Wednesday,17
Success,Mini,364,Friday,2
Success,Prime SUV,236,Monday,15
Canceled by Driver,Auto,312,Friday,20
Success,Prime Sedan,137,Monday,18
Success,Bike,462,Tuesday,1
Canceled by Driver,Mini,404,Thursday,19
Canceled by Driver,eBike,165,Thursday,13
Canceled by Driver,Bike,260,Tuesday,4
Driver Not Found,Prime SUV,251,Friday,10
Success,Prime SUV,227,Friday,18
Canceled by Customer,Prime Sedan,307,Monday,4
Canceled by Driver,Bike,220,Wednesday,13
Success,Mini,339,Saturday,8
Canceled by Customer,Bike,120,Monday,20
Success,Auto,266,Saturday,0
Success,Mini,293,Monday,14
Success,eBike,498,Friday,6
Canceled by Driver,eBike,357,Tuesday,23
Success,Prime Sedan,561,Wednesday,5
Success,Mini,246,Friday,21
Success,Bike,390,Wednesday,16
Success,Mini,141,Tuesday,17
Success,Prime Sedan,814,Thursday,8
Canceled by Driver,Bike,142,Saturday,20
Driver Not Found,Mini,348,Wednesday,8
Success,Auto,250,Wednesday,3
Driver Not Found,Bike,288,Saturday,15
Success,Prime Sedan,387,Tuesday,16
Success,Prime Plus,357,Friday,17
Success,Bike,143,Saturday,15
Success,eBike,185,Friday,17
Success,Prime SUV,2345,Monday,2
Success,Prime SUV,1932,Thursday,8
Success,Auto,494,Monday,1
Success,Mini,767,Monday,9
Canceled by Driver,Auto,212,Friday,16
Canceled by Customer,Prime SUV,372,Tuesday,16
Success,Prime Sedan,147,Tuesday,12
Success,Auto,159,Friday,4
Canceled by Driver,Bike,183,Thursday,4
Canceled by Customer,Auto,220,Saturday,11
Driver Not Found,eBike,187,Sunday,9
Success,Bike,238,Friday,14
Canceled by Customer,Prime Plus,137,Wednesday,2
Success,Auto,201,Wednesday,6
Success,Mini,2685,Thursday,17
Canceled by Customer,Prime SUV,456,Sunday,10
Success,Bike,172,Monday,11
Success,Prime Plus,348,Friday,5
Driver Not Found,Prime Plus,453,Sunday,9
Success,Bike,2494,Sunday,21
Canceled by Driver,Mini,337,Saturday,10
Success,Auto,490,Thursday,23
Success,Auto,165,Friday,19
Success,Prime SUV,607,Friday,5
Success,Prime Plus,422,Sunday,18
Success,eBike,392,Saturday,14
Success,Bike,356,Wednesday,9
Success,Auto,221,Sunday,8
Success,Prime Sedan,686,Thursday,0
Success,Prime Plus,176,Monday,6
Success,Prime Sedan,411,Monday,17
Canceled by Customer,eBike,339,Thursday,8
Success,Prime Sedan,310,Wednesday,17
Success,eBike,454,Friday,14
Success,Prime Sedan,227,Tuesday,3
Success,Prime Plus,462,Wednesday,5
Success,Prime SUV,1722,Tuesday,11
Success,eBike,277,Wednesday,5
Driver Not Found,Auto,214,Wednesday,3
Success,Prime Plus,468,Thursday,14
Success,Auto,175,Friday,12
Success,Bike,699,Monday,3
Success,Mini,1247,Friday,15
Canceled by Driver,Prime Sedan,132,Sunday,15
Canceled by Driver,Prime SUV,585,Tuesday,5
Success,Bike,1001,Sunday,19
Success,eBike,311,Tuesday,9
Driver Not Found,eBike,225,Wednesday,2
Success,Bike,295,Thursday,21
Success,eBike,446,Sunday,14
Canceled by Driver,Prime Sedan,344,Friday,23
Success,Bike,346,Friday,6
Success,Prime Plus,616,Thursday,5
Success,Auto,429,Saturday,13
Success,Prime Sedan,418,Sunday,17
Success,Prime Plus,419,Sunday,5
Driver Not Found,Prime Sedan,371,Monday,4
Canceled by Customer,Mini,510,Wednesday,23
Success,Prime SUV,474,Saturday,19
Success,Prime Sedan,137,Sunday,2
Success,Mini,756,Monday,16
Success,Bike,1666,Saturday,5
Success,Bike,467,Sunday,12
Success,eBike,420,Sunday,13
Driver Not Found,Prime Plus,215,Wednesday,2
Success,Auto,252,Thursday,1
Success,Bike,301,Monday,14
Canceled by Driver,Prime Plus,792,Friday,4
Canceled by Customer,eBike,334,Tuesday,16
Success,Prime Plus,164,Monday,5
Success,Bike,227,Tuesday,22
Success,Auto,400,Friday,7
Success,Auto,277,Thursday,23
Success,Bike,100,Thursday,8
Success,Prime Sedan,1180,Thursday,8
Success,eBike,154,Thursday,9
Success,Bike,399,Thursday,20
Canceled by Customer,Bike,169,Tuesday,17
Success,eBike,218,Wednesday,4
Canceled by Driver,Auto,671,Tuesday,9
Canceled by Driver,eBike,604,Thursday,19
Canceled by Customer,Bike,322,Friday,0
Success,Prime Sedan,382,Sunday,19
Canceled by Driver,Auto,206,Monday,3
Success,Mini,435,Monday,21
Success,Prime Plus,274,Friday,12
Success,Mini,458,Tuesday,11
Success,Prime Sedan,479,Tuesday,7
Success,eBike,399,Saturday,8
Canceled by Driver,Prime Plus,523,Thursday,23
Success,Prime Sedan,487,Saturday,0
Success,Bike,349,Friday,10
Success,Bike,451,Wednesday,6
Success,Mini,2198,Wednesday,7
Success,Prime SUV,876,Saturday,17
Success,eBike,149,Thursday,14
Success,eBike,2904,Tuesday,17
Success,Prime Sedan,719,Sunday,0
Canceled by Driver,Prime Sedan,426,Monday,7
Success,Mini,679,Saturday,5
Success,Prime Sedan,393,Tuesday,4
Success,Prime Plus,582,Sunday,13
Success,Prime Plus,1581,Friday,6
Success,Mini,513,Monday,7
Canceled by Driver,Auto,243,Monday,22
Success,Mini,479,Wednesday,2
Canceled by Driver,Bike,799,Sunday,12
Success,Auto,811,Saturday,16
Canceled by Customer,Prime Plus,1566,Tuesday,12
Success,Bike,188,Sunday,20
Success,Prime Plus,251,Saturday,2
Success,Prime SUV,434,Friday,13
Canceled by Customer,Prime Plus,874,Monday,0
Canceled by Driver,Mini,407,Thursday,21
Success,eBike,172,Friday,17
Success,Auto,2959,Thursday,20
Canceled by Customer,Prime Plus,386,Friday,5
Success,Prime Plus,403,Monday,16
Driver Not Found,Prime Sedan,198,Thursday,21
Success,Prime Plus,479,Sunday,21
Driver Not Found,Prime Sedan,284,Thursday,21
Success,Auto,468,Thursday,12
Canceled by Driver,Auto,796,Wednesday,1
Canceled by Driver,Prime Sedan,1405,Monday,13
Canceled by Customer,Bike,424,Wednesday,21
Success,Prime Sedan,339,Wednesday,5
Success,Auto,283,Saturday,16
Success,Prime SUV,483,Tuesday,17
Canceled by Driver,eBike,280,Wednesday,10
Success,Prime Sedan,376,Monday,19
Success,Prime SUV,464,Tuesday,20
Success,Auto,774,Thursday,19
Canceled by Customer,Prime Sedan,344,Thursday,0
Success,Prime SUV,157,Thursday,7
Canceled by Driver,Bike,973,Saturday,14
Canceled by Driver,Auto,479,Sunday,18
Driver Not Found,Prime SUV,646,Sunday,5
Success,Mini,286,Wednesday,15
Driver Not Found,Bike,665,Tuesday,5
Success,Auto,1289,Monday,1
Success,Prime Sedan,487,Monday,18
Canceled by Driver,Prime SUV,311,Saturday,18
Success,Auto,502,Sunday,17
Canceled by Customer,Mini,250,Friday,6
Success,Prime Sedan,497,Sunday,6
Success,Mini,420,Monday,18
Success,Prime Plus,906,Thursday,4
Canceled by Driver,Bike,338,Thursday,19
Canceled by Driver,Prime SUV,130,Monday,17
Success,Prime Sedan,764,Saturday,15
Success,Prime SUV,254,Friday,17
Success,Bike,297,Saturday,3
Canceled by Driver,Prime Plus,132,Friday,4
Success,eBike,102,Saturday,6
Success,Bike,487,Sunday,0
Success,Bike,289,Monday,16
Driver Not Found,Auto,467,Saturday,0
Success,Bike,128,Friday,1
Success,Prime SUV,1826,Saturday,8
Success,Auto,923,Saturday,19
Success,Auto,393,Tuesday,10
Canceled by Driver,Bike,140,Wednesday,17
Success,Mini,1179,Thursday,22
Success,Bike,349,Thursday,16
Success,Mini,438,Wednesday,12
Canceled by Driver,Prime SUV,337,Thursday,8
Success,Prime Plus,866,Sunday,8
Success,Bike,348,Saturday,9
Success,Prime SUV,817,Monday,18
Canceled by Customer,Auto,403,Sunday,4
Success,Prime SUV,414,Friday,0
Canceled by Driver,Auto,319,Tuesday,23
Driver Not Found,eBike,2025,Saturday,20
Canceled by Customer,Bike,257,Saturday,4
Success,Prime Sedan,242,Friday,2
Success,Prime Sedan,489,Monday,17
Success,Mini,413,Friday,18
Success,Auto,223,Sunday,0
Success,Prime SUV,448,Wednesday,14
Canceled by Driver,Auto,391,Sunday,1
Success,Mini,666,Wednesday,11
Canceled by Driver,Prime Sedan,371,Tuesday,22
Canceled by Driver,eBike,924,Thursday,11
Canceled by Customer,Prime Plus,171,Thursday,8
Success,Mini,186,Wednesday,13
Success,Auto,295,Friday,3
Success,eBike,104,Monday,17
Success,eBike,2689,Saturday,5
Success,Bike,499,Tuesday,15
Success,Mini,194,Monday,0
Success,Prime Sedan,271,Saturday,8
Canceled by Driver,Auto,240,Wednesday,9
Success,Prime Plus,785,Saturday,17
Success,Auto,232,Tuesday,4
Success,eBike,482,Thursday,22
Success,Prime Plus,288,Saturday,5
Canceled by Customer,Mini,152,Friday,15
Success,Bike,121,Saturday,15
Success,Prime Plus,230,Saturday,0
Success,Prime SUV,790,Wednesday,9
Success,Prime Plus,499,Saturday,18
Success,eBike,826,Monday,1
Success,Prime Sedan,257,Tuesday,14
Success,Auto,2791,Thursday,3
Canceled by Driver,Prime Plus,332,Sunday,4
Success,Prime Sedan,1678,Saturday,8
Success,Prime Plus,217,Friday,5
Success,Prime Plus,260,Tuesday,12
Success,Auto,913,Friday,9
Success,Auto,2160,Sunday,17
Success,Mini,137,Wednesday,5
Success,Bike,401,Wednesday,10
Success,Bike,463,Monday,17
Canceled by Driver,Prime Sedan,440,Tuesday,15
Success,Auto,255,Monday,20
Success,Auto,260,Sunday,10
Success,Prime Sedan,316,Saturday,22
Canceled by Driver,eBike,409,Tuesday,20
Success,Prime Plus,628,Sunday,13
Success,Prime Plus,450,Thursday,12
Success,Bike,1557,Tuesday,1
Success,Mini,300,Sunday,16
Success,Prime Plus,433,Monday,14
Canceled by Driver,Mini,322,Friday,13
Canceled by Customer,Prime SUV,467,Wednesday,5
Success,Prime Plus,926,Thursday,3
Canceled by Customer,Prime SUV,2345,Friday,7
Driver Not Found,Prime SUV,468,Monday,3
Success,Mini,738,Saturday,22
Canceled by Driver,Prime Sedan,362,Wednesday,17
Success,Auto,404,Tuesday,17
Canceled by Driver,Prime SUV,264,Wednesday,14
Success,Prime SUV,104,Tuesday,15
Canceled by Customer,Auto,455,Friday,3
Driver Not Found,Mini,830,Tuesday,3
Success,Bike,176,Saturday,8
Success,Auto,235,Thursday,12
Success,Mini,265,Monday,13
Success,eBike,198,Sunday,20
Success,Prime Plus,431,Monday,5
Success,Prime Sedan,243,Wednesday,3
Success,Prime Sedan,846,Sunday,7
Driver Not Found,Bike,297,Saturday,20
Success,Auto,984,Saturday,18
Canceled by Driver,Prime Sedan,365,Monday,17
Driver Not Found,Bike,189,Monday,17
Driver Not Found,Prime SUV,902,Monday,11
Canceled by Driver,Mini,2543,Thursday,7
Success,Prime SUV,294,Thursday,22
Success,Prime Sedan,306,Thursday,7
Success,Mini,395,Saturday,22
Canceled by Customer,Prime Plus,1157,Friday,20
Success,Auto,111,Wednesday,9
Success,Auto,345,Wednesday,5
Success,eBike,960,Tuesday,11
Canceled by Customer,eBike,423,Saturday,1
Success,Prime SUV,204,Thursday,19
Success,Prime Plus,387,Thursday,17
Success,Prime Plus,683,Sunday,11
Success,Auto,337,Friday,20
Driver Not Found,Prime Sedan,309,Sunday,23
Success,Prime Sedan,2361,Saturday,7
Success,Prime SUV,928,Monday,18
Success,Auto,816,Friday,0
Success,Mini,176,Saturday,17
Canceled by Driver,Prime Plus,256,Saturday,7
Canceled by Driver,eBike,257,Thursday,19
Success,Mini,1560,Sunday,21
Success,Auto,493,Friday,22
Success,Prime SUV,467,Monday,14
Canceled by Driver,Prime SUV,479,Saturday,22
Success,Bike,163,Tuesday,6
Success,Auto,863,Friday,18
Success,Prime Sedan,2226,Wednesday,10
Canceled by Customer,Prime Sedan,149,Thursday,13
Success,Prime SUV,163,Saturday,10
Success,Bike,112,Thursday,23
Canceled by Driver,eBike,470,Friday,13
Canceled by Customer,Prime Sedan,682,Thursday,12
Canceled by Driver,eBike,1311,Saturday,9
Driver Not Found,Prime SUV,557,Sunday,17
Canceled by Driver,Prime Sedan,281,Thursday,12
Success,Bike,355,Friday,4
Success,eBike,447,Sunday,2
Canceled by Driver,eBike,291,Wednesday,19
Success,Prime SUV,2861,Thursday,13
Success,Prime SUV,166,Thursday,10
Success,eBike,123,Saturday,4
Canceled by Customer,Prime Plus,308,Tuesday,1
Driver Not Found,Prime Sedan,369,Monday,19
Driver Not Found,Prime SUV,106,Sunday,11
Driver Not Found,Mini,348,Thursday,5
Success,Mini,954,Saturday,16
Canceled by Driver,Auto,1585,Thursday,14
Canceled by Driver,Mini,126,Tuesday,2
Canceled by Driver,Auto,111,Saturday,17
Canceled by Customer,Bike,343,Friday,9
Canceled by Driver,Prime Plus,390,Monday,10
Canceled by Driver,Mini,887,Thursday,19
Success,eBike,417,Monday,9
Success,Auto,384,Thursday,0
Success,Prime SUV,142,Friday,21
Success,Prime Sedan,233,Tuesday,23
Success,Bike,280,Saturday,9
Success,Prime Sedan,431,Monday,10
Canceled by Driver,Bike,238,Saturday,6
Success,Prime Sedan,296,Saturday,22
Driver Not Found,Prime Sedan,107,Friday,3
Canceled by Driver,Prime Plus,813,Thursday,19
Success,Bike,217,Saturday,17
Success,Prime Sedan,488,Thursday,6
Success,Prime SUV,262,Saturday,15
Success,Bike,2647,Friday,10
Driver Not Found,Prime SUV,372,Tuesday,21
Success,Prime Sedan,460,Sunday,9
Canceled by Customer,eBike,151,Thursday,19
Success,Bike,101,Thursday,11
Driver Not Found,Prime Sedan,213,Tuesday,23
Success,Prime Plus,460,Monday,17
Success,Prime SUV,375,Tuesday,19
Canceled by Customer,Auto,2286,Thursday,18
Success,Bike,896,Monday,23
Success,Bike,118,Wednesday,5
Success,Mini,411,Saturday,4
Canceled by Driver,eBike,985,Tuesday,8
Success,Mini,221,Saturday,5
Driver Not Found,Mini,470,Saturday,16
Success,Prime SUV,717,Sunday,8
Success,Prime Plus,141,Thursday,9
Success,Prime Sedan,707,Tuesday,3
Success,Bike,294,Tuesday,7
Driver Not Found,Prime Sedan,623,Friday,13
Success,Prime Plus,954,Wednesday,5
Success,Bike,418,Sunday,11
Success,Bike,424,Sunday,3
Canceled by Driver,Mini,179,Friday,15
Success,Prime Plus,487,Saturday,15
Success,Mini,441,Thursday,11
Success,eBike,2912,Monday,22
Canceled by Driver,Bike,370,Saturday,6
Success,Prime Plus,285,Saturday,10
Success,eBike,115,Wednesday,19
Success,Bike,103,Monday,0
Driver Not Found,eBike,856,Friday,21
Canceled by Customer,Prime Sedan,400,Friday,20
Success,Prime Sedan,456,Friday,5
