Vehicle Type,Booking Value,Ride Distance,Avg VTAT,Avg CTAT,Driver Ratings,Customer Rating,Payment Method
Go Mini,301.0,31.49,7.4,21.8,4.2,4.7,Debit Card
Auto,1628.0,48.93,5.5,29.7,3.7,4.5,UPI
Auto,996.0,11.96,3.7,33.0,4.3,3.6,Credit Card
Auto,238.0,34.93,4.3,29.4,4.3,4.2,UPI
Go Sedan,263.0,17.6,9.8,33.2,4.2,4.7,UPI
Premier Sedan,183.0,12.47,8.0,34.9,4.4,4.2,Cash
Bike,855.0,20.31,13.3,27.7,4.5,4.6,Debit Card
eBike,1126.0,42.65,9.1,31.2,4.3,4.7,Cash
Go Mini,165.0,11.5,9.2,16.5,4.3,4.2,Uber Wallet
Auto,191.0,17.01,11.1,17.3,4.2,4.4,UPI
Go Mini,74.0,2.62,4.2,39.7,3.9,3.8,UPI
Auto,597.0,26.36,14.8,42.5,3.3,4.3,Cash
Go Mini,174.0,41.76,9.1,42.6,4.2,4.4,Credit Card
Auto,397.0,21.95,2.3,16.9,4.2,4.2,UPI
Uber XL,476.0,7.4,7.2,20.0,4.3,4.8,Uber Wallet
Auto,94.0,20.73,8.9,26.4,4.4,4.2,Cash
Go Sedan,497.0,6.63,7.5,19.2,4.9,4.9,Uber Wallet
Bike,1519.0,34.08,3.8,30.6,4.8,5.0,Cash
Go Sedan,1580.0,43.35,7.4,26.6,5.0,4.8,Cash
Go Sedan,701.0,3.32,5.2,30.9,4.2,4.4,Cash
Premier Sedan,971.0,2.85,12.6,40.9,4.3,3.3,UPI
eBike,216.0,10.49,10.4,17.5,4.1,4.1,Debit Card
Premier Sedan,232.0,45.02,8.6,32.6,4.9,4.6,Cash
eBike,197.0,38.15,3.4,22.1,4.2,4.9,Cash
Go Sedan,492.0,6.96,11.5,30.4,3.9,4.9,Cash
Auto,2410.0,25.73,5.3,23.5,4.1,4.4,UPI
Auto,353.0,49.09,4.5,38.7,4.2,4.1,Cash
Go Mini,320.0,12.96,14.7,44.7,4.3,4.8,Cash
Bike,228.0,38.08,14.8,34.7,4.7,4.9,Cash
Bike,147.0,6.08,15.0,21.9,4.3,3.8,Uber Wallet
Go Mini,263.0,33.18,11.1,42.4,4.6,3.2,UPI
Go Sedan,447.0,25.89,8.0,40.4,4.4,4.7,Debit Card
Bike,632.0,34.48,3.9,18.9,4.1,4.3,UPI
Go Sedan,610.0,34.82,11.9,18.6,4.2,4.2,Cash
Auto,271.0,10.49,11.8,42.8,4.3,4.2,UPI
Bike,650.0,49.26,3.8,26.9,4.4,4.5,Cash
Go Sedan,611.0,41.6,5.1,38.0,4.5,4.2,UPI
Bike,849.0,16.54,11.8,31.6,4.2,4.6,UPI
eBike,988.0,10.23,7.4,30.2,4.5,4.3,Cash
Bike,796.0,22.97,8.5,19.9,4.4,4.6,Cash
Go Mini,854.0,16.24,12.1,28.5,4.5,4.2,UPI
Bike,665.0,26.35,10.9,40.1,4.2,4.2,UPI
Bike,865.0,22.13,7.8,34.6,4.4,4.6,Cash
Go Mini,166.0,15.88,11.7,31.4,4.1,4.2,Cash
Premier Sedan,86.0,34.9,12.4,16.8,4.9,4.4,UPI
Auto,367.0,38.04,13.1,21.3,3.6,4.5,UPI
Go Sedan,119.0,49.82,6.4,21.5,4.4,3.9,UPI
Premier Sedan,424.0,6.86,9.6,41.4,3.7,3.7,UPI
Go Sedan,659.0,38.0,3.1,26.0,4.5,4.2,UPI
eBike,450.0,39.08,5.2,18.8,3.0,4.5,UPI
Go Sedan,1526.0,35.66,5.6,22.4,4.4,4.2,Uber Wallet
Auto,488.0,4.66,3.6,41.7,3.4,4.8,UPI
Go Sedan,998.0,42.16,12.3,44.0,4.7,4.8,UPI
Go Sedan,897.0,25.32,3.0,22.1,4.1,4.7,Credit Card
Auto,480.0,19.51,4.9,27.7,4.3,4.9,Cash
Auto,388.0,22.73,6.8,21.0,3.2,5.0,Credit Card
Go Sedan,157.0,33.67,7.7,27.6,3.1,4.6,UPI
Go Mini,97.0,15.21,13.9,19.8,4.9,4.3,UPI
Auto,239.0,9.7,2.9,35.6,4.2,4.5,UPI
Auto,345.0,11.77,7.6,22.8,4.7,4.1,Uber Wallet
Bike,162.0,18.69,14.7,22.1,3.9,4.9,UPI
Bike,599.0,21.9,7.5,34.5,4.6,4.3,Cash
Go Sedan,676.0,45.01,2.4,22.9,3.1,4.2,UPI
Premier Sedan,819.0,34.02,6.3,18.5,4.2,4.7,UPI
Auto,1246.0,33.61,8.0,37.0,4.1,4.5,Cash
Go Sedan,619.0,23.57,5.0,44.2,3.6,3.2,UPI
Auto,511.0,38.14,14.3,44.5,4.2,4.2,Cash
Bike,333.0,48.52,12.3,42.7,4.2,4.2,UPI
Auto,527.0,21.47,6.5,26.4,4.3,4.3,Credit Card
Auto,243.0,5.48,11.6,18.0,4.8,3.4,Debit Card
Go Mini,562.0,49.53,8.0,20.5,4.7,5.0,Cash
Go Mini,346.0,47.92,7.3,21.7,4.2,4.3,Cash
eBike,485.0,43.25,8.4,20.2,4.3,4.2,Debit Card
Go Sedan,292.0,11.14,7.9,26.1,4.9,3.5,UPI
Premier Sedan,65.0,13.3,14.1,18.9,3.8,4.3,Credit Card
Auto,855.0,31.24,8.7,24.5,3.1,4.9,Cash
Premier Sedan,459.0,29.18,14.4,35.9,4.9,4.8,UPI
Auto,540.0,13.57,2.2,33.7,5.0,4.5,Cash
Go Mini,767.0,37.11,11.2,42.3,4.6,3.1,Cash
Go Mini,283.0,14.34,8.5,38.2,4.2,4.1,UPI
Go Sedan,251.0,34.41,10.9,29.8,4.5,4.7,Debit Card
Premier Sedan,361.0,41.53,12.5,44.5,4.2,3.9,UPI
Go Sedan,405.0,42.06,12.6,37.9,3.9,4.3,Credit Card
Auto,642.0,49.16,2.4,23.3,3.6,4.7,UPI
Auto,98.0,39.77,11.6,19.7,4.7,4.1,UPI
Go Sedan,1441.0,32.42,7.8,41.3,3.7,4.9,Cash
Go Mini,437.0,25.8,4.3,40.4,3.9,3.1,UPI
Go Mini,412.0,19.0,11.6,34.7,4.4,4.1,Cash
Auto,106.0,2.24,12.0,24.5,4.3,4.7,Cash
Bike,1998.0,32.33,9.2,40.1,4.3,3.2,Credit Card
Bike,585.0,34.96,4.1,36.6,4.1,4.2,Cash
Go Mini,799.0,47.04,7.0,20.3,4.3,4.7,Credit Card
Auto,121.0,22.98,13.3,43.6,4.3,4.5,UPI
Auto,334.0,29.35,14.1,26.3,4.9,4.3,Debit Card
Auto,774.0,2.56,13.3,27.7,3.1,3.8,UPI
Uber XL,407.0,17.37,7.0,20.6,4.1,5.0,Cash
Go Mini,717.0,23.29,7.1,44.0,4.2,4.2,UPI
Go Sedan,96.0,33.3,14.9,23.8,4.2,4.7,Uber Wallet
Go Mini,467.0,18.3,7.1,42.1,3.5,3.5,UPI
Auto,463.0,21.96,2.6,41.2,4.6,4.9,UPI
Go Sedan,167.0,27.0,10.4,28.2,3.8,4.5,Cash
Uber XL,688.0,41.75,4.5,35.5,3.7,4.9,UPI
Bike,140.0,11.83,4.8,39.8,4.3,4.2,Cash
Auto,716.0,21.63,13.5,19.9,3.9,4.5,Uber Wallet
Auto,409.0,5.74,5.5,44.1,4.7,4.4,Uber Wallet
Go Sedan,228.0,13.74,4.3,20.0,4.2,4.2,Cash
Bike,620.0,33.54,9.6,43.2,4.6,4.9,UPI
Go Mini,376.0,19.18,8.5,23.7,3.2,4.2,UPI
Bike,277.0,20.85,8.2,33.1,3.9,4.3,Debit Card
Auto,324.0,38.54,8.0,43.3,4.2,4.3,UPI
Premier Sedan,278.0,39.39,6.7,44.4,4.1,4.4,Uber Wallet
Go Mini,147.0,14.9,4.3,44.0,3.7,4.2,Cash
Go Mini,341.0,7.25,10.0,41.3,4.2,4.7,UPI
Premier Sedan,513.0,49.23,12.8,43.0,4.2,4.3,Credit Card
Go Mini,226.0,10.11,9.8,31.2,3.6,4.6,UPI
Go Sedan,66.0,48.51,2.0,38.8,3.4,4.3,Credit Card
Bike,456.0,12.15,10.9,35.1,3.7,4.9,Cash
Auto,1731.0,32.73,6.8,44.0,3.9,4.2,Uber Wallet
Auto,464.0,17.47,11.0,18.9,4.3,3.7,Cash
Go Mini,774.0,46.13,12.4,37.4,3.8,4.9,Credit Card
eBike,197.0,23.7,6.1,23.1,4.2,5.0,Uber Wallet
eBike,349.0,3.23,5.8,23.5,4.6,4.4,Cash
Auto,494.0,5.93,10.4,42.5,3.8,4.4,Uber Wallet
Go Mini,251.0,18.17,10.9,15.6,4.6,4.6,Cash
Bike,507.0,41.4,2.7,18.0,3.9,3.8,Uber Wallet
Auto,416.0,44.44,7.3,43.1,4.3,4.9,Cash
Auto,493.0,41.91,10.0,25.5,4.9,4.6,UPI
Go Sedan,817.0,41.21,8.6,32.4,4.4,4.3,Cash
Bike,609.0,30.54,9.4,27.6,4.2,4.1,UPI
Go Mini,918.0,44.21,2.9,33.8,3.6,4.9,Cash
Auto,213.0,12.76,7.9,42.4,4.4,3.8,UPI
Go Sedan,622.0,17.17,8.3,34.0,3.9,4.2,UPI
Go Sedan,623.0,49.22,12.8,17.6,4.9,4.5,Uber Wallet
Go Mini,276.0,2.35,3.6,44.0,5.0,4.9,Cash
Go Mini,402.0,16.88,12.3,26.2,4.8,4.2,UPI
Bike,421.0,49.94,13.3,43.3,5.0,4.6,Cash
Bike,1323.0,33.39,13.8,31.8,3.8,4.9,UPI
Premier Sedan,402.0,27.37,12.1,24.5,4.7,4.9,UPI
Bike,331.0,25.78,9.8,25.9,5.0,4.9,UPI
Uber XL,81.0,10.24,7.7,31.9,4.9,4.3,UPI
Go Sedan,298.0,43.4,2.1,28.8,4.9,4.1,Debit Card
eBike,308.0,31.65,9.8,27.2,4.3,4.3,UPI
Go Mini,218.0,25.17,14.1,44.9,4.1,4.3,Credit Card
Uber XL,861.0,48.39,4.3,43.9,4.7,4.9,UPI
Go Mini,483.0,18.39,8.0,22.5,4.9,4.8,Uber Wallet
Auto,133.0,36.86,2.4,37.7,3.9,3.8,UPI
Auto,731.0,40.67,5.5,28.0,4.3,4.2,Cash
Auto,242.0,17.1,4.8,18.1,4.9,3.4,Credit Card
Go Mini,394.0,3.3,2.1,16.2,4.2,4.9,Credit Card
Premier Sedan,1232.0,48.08,13.5,42.2,4.9,4.4,UPI
Auto,711.0,43.67,14.6,29.0,3.9,5.0,Cash
Bike,778.0,31.88,2.2,18.4,3.9,4.9,UPI
Bike,216.0,19.21,5.7,29.2,4.3,4.2,UPI
Go Sedan,544.0,23.43,6.8,15.3,4.0,4.2,Debit Card
Auto,546.0,31.18,10.5,20.0,4.3,4.9,Uber Wallet
Go Mini,439.0,20.56,13.7,21.8,4.5,4.2,UPI
Auto,479.0,32.43,7.1,15.0,3.8,4.6,Debit Card
Bike,103.0,27.6,14.4,35.6,4.5,4.3,Cash
Auto,606.0,28.42,9.5,40.9,4.4,3.7,Debit Card
Bike,173.0,10.39,3.8,37.4,4.1,4.7,UPI
eBike,251.0,46.17,8.6,24.7,3.5,4.3,UPI
Uber XL,456.0,13.03,3.3,42.9,4.7,4.6,Cash
Go Mini,568.0,12.33,11.4,44.9,3.9,4.9,Debit Card
Uber XL,956.0,13.53,4.3,30.5,4.5,4.8,Debit Card
Go Sedan,1368.0,26.8,12.6,20.1,4.1,4.1,UPI
eBike,2413.0,14.61,2.4,34.2,4.8,4.0,UPI
Go Sedan,313.0,30.61,10.8,44.0,4.2,4.4,Debit Card
Auto,407.0,25.52,14.5,27.1,4.2,4.4,UPI
Premier Sedan,411.0,39.08,13.0,42.0,3.8,4.8,Debit Card
Auto,253.0,35.84,9.9,35.1,4.4,3.7,Debit Card
Premier Sedan,953.0,6.71,8.0,20.3,4.6,4.2,UPI
Go Sedan,467.0,20.18,4.7,43.0,4.3,4.6,UPI
Go Sedan,129.0,39.31,12.4,32.0,3.0,4.6,Cash
Go Sedan,89.0,13.81,14.2,23.4,3.9,4.6,Cash
Go Mini,146.0,49.73,12.0,42.6,4.5,4.5,Cash
Auto,368.0,7.98,7.8,23.5,4.4,4.1,Cash
Go Sedan,423.0,5.08,3.3,16.7,4.2,5.0,UPI
Go Mini,59.0,2.04,3.4,16.1,4.3,4.6,UPI
Auto,349.0,35.37,11.4,40.0,3.0,4.4,Debit Card
Auto,299.0,30.42,2.3,21.4,4.3,4.4,UPI
Go Mini,253.0,44.24,8.6,31.8,4.2,4.2,Uber Wallet
Go Sedan,235.0,10.82,5.0,28.7,4.2,4.8,Debit Card
Go Sedan,203.0,31.2,6.0,22.4,4.7,4.2,Cash
Bike,586.0,35.08,13.3,29.2,4.5,4.3,Cash
Go Mini,671.0,19.46,14.4,34.3,4.3,4.4,UPI
Go Sedan,463.0,20.45,8.5,26.8,4.4,4.3,Cash
Go Sedan,323.0,6.07,13.4,39.3,4.8,4.3,Uber Wallet
Go Mini,468.0,22.27,2.7,33.0,4.4,3.4,UPI
Go Sedan,400.0,8.26,2.2,34.3,3.7,4.4,Cash
Go Mini,173.0,43.22,3.7,39.9,4.5,4.3,Cash
Auto,537.0,38.08,6.3,35.3,5.0,4.6,Cash
Uber XL,76.0,47.81,6.4,42.4,4.4,4.5,UPI
Auto,233.0,25.62,3.0,42.1,3.2,5.0,Debit Card
Auto,389.0,21.33,12.7,27.7,4.4,4.5,UPI
Premier Sedan,280.0,4.27,13.0,41.8,4.3,4.2,Credit Card
eBike,387.0,16.56,14.0,32.4,4.2,3.9,UPI
Bike,822.0,18.48,9.4,45.0,4.6,4.2,UPI
Bike,350.0,18.01,14.6,27.3,4.2,4.4,Cash
Go Sedan,311.0,6.34,9.7,20.6,4.1,4.2,Cash
Auto,328.0,15.8,8.0,41.6,3.9,4.6,UPI
Uber XL,698.0,15.5,6.6,40.4,4.9,5.0,UPI
Go Mini,729.0,37.36,3.9,43.9,4.8,4.8,UPI
Bike,630.0,40.1,13.9,44.7,4.5,4.1,UPI
Go Sedan,88.0,28.03,8.6,34.2,3.2,4.7,Cash
Premier Sedan,221.0,37.96,4.4,17.0,4.7,4.5,Cash
Premier Sedan,833.0,15.09,15.0,30.9,4.2,4.8,Cash
Uber XL,102.0,30.19,13.5,21.6,3.8,4.2,Credit Card
eBike,161.0,38.8,6.7,22.4,4.2,4.9,UPI
Auto,1544.0,27.88,9.7,43.6,4.6,4.2,UPI
Go Sedan,200.0,23.52,3.1,42.1,4.4,4.8,UPI
Premier Sedan,266.0,6.82,9.0,32.0,4.1,4.6,UPI
Auto,563.0,37.65,4.0,18.4,4.5,4.6,Credit Card
Bike,396.0,8.75,5.4,35.6,4.2,4.2,UPI
Go Mini,461.0,44.81,5.4,25.2,4.3,4.3,Cash
Bike,445.0,11.95,9.3,39.4,4.2,4.8,UPI
Go Mini,443.0,16.29,11.0,43.0,4.9,4.3,Cash
Go Mini,853.0,18.85,10.4,32.3,4.3,3.6,Cash
Go Sedan,183.0,17.49,3.1,24.2,4.4,3.3,UPI
Auto,451.0,47.28,12.9,28.1,4.9,4.6,Uber Wallet
Go Sedan,115.0,24.84,5.5,33.3,4.6,4.5,Cash
Premier Sedan,402.0,30.99,7.1,21.3,4.4,4.7,Uber Wallet
Go Sedan,394.0,5.98,13.3,34.4,4.2,4.9,Uber Wallet
Go Mini,166.0,9.58,8.8,44.5,4.7,4.3,Cash
Bike,619.0,13.77,5.0,27.2,4.1,4.2,UPI
Auto,374.0,2.87,2.5,25.9,4.3,4.2,UPI
Auto,273.0,34.86,4.4,39.7,4.3,4.9,UPI
Auto,336.0,32.54,8.1,27.0,3.7,4.8,UPI
Auto,490.0,10.1,3.4,32.3,4.3,4.5,Cash
Go Mini,86.0,17.7,11.3,19.7,4.6,4.3,UPI
Go Mini,50.0,48.1,4.4,40.5,4.2,4.3,UPI
Bike,560.0,24.58,5.1,43.5,4.5,4.3,Cash
eBike,354.0,49.59,6.9,44.7,4.3,5.0,Cash
Go Mini,492.0,33.6,6.3,33.3,4.6,5.0,Cash
Go Sedan,91.0,46.72,10.0,31.2,4.3,3.8,UPI
Go Sedan,292.0,21.59,8.8,18.4,4.1,4.8,UPI
eBike,385.0,34.52,2.8,21.9,4.9,4.9,Credit Card
Go Mini,482.0,26.52,6.2,31.3,4.6,4.2,UPI
Bike,329.0,12.67,3.3,21.6,4.9,3.2,UPI
Bike,240.0,4.32,4.1,39.0,4.2,4.6,UPI
Go Mini,325.0,14.77,5.0,33.5,4.6,3.8,UPI
Bike,963.0,45.29,5.7,17.1,4.3,4.9,UPI
Go Sedan,108.0,29.35,12.9,38.9,4.1,4.3,Cash
Auto,149.0,43.47,10.7,41.7,4.5,4.9,Cash
Go Mini,510.0,32.2,9.5,38.6,4.3,4.2,Cash
Go Sedan,930.0,32.24,9.8,39.5,5.0,5.0,UPI
Premier Sedan,341.0,11.21,8.8,28.4,4.3,3.7,Cash
Bike,325.0,49.65,8.9,43.3,3.0,4.3,Uber Wallet
Go Mini,70.0,7.22,6.6,40.4,4.9,4.1,UPI
Auto,493.0,8.24,11.5,37.3,3.1,4.1,UPI
eBike,384.0,35.91,8.8,15.6,4.3,4.2,Credit Card
Go Mini,864.0,36.06,6.6,24.5,4.4,4.2,Cash
Bike,773.0,23.01,5.1,18.6,4.5,4.8,UPI
Bike,466.0,11.99,4.7,44.8,4.3,4.1,UPI
Premier Sedan,358.0,42.84,11.1,42.5,4.5,5.0,UPI
Auto,98.0,48.23,14.9,36.0,3.4,3.8,UPI
Auto,170.0,13.71,10.9,32.7,4.6,4.6,Debit Card
Go Mini,289.0,48.12,6.9,42.0,4.2,4.2,UPI
Go Sedan,617.0,32.98,11.4,19.9,4.1,4.9,UPI
Auto,737.0,34.79,7.1,32.0,4.0,4.7,UPI
Auto,57.0,10.46,7.4,25.5,4.2,4.7,UPI
Auto,88.0,29.72,4.1,20.2,4.2,4.5,UPI
Auto,543.0,2.5,4.0,17.1,3.3,3.6,UPI
Auto,223.0,32.87,2.4,24.2,4.3,3.9,Cash
Auto,1207.0,38.27,7.1,35.2,4.3,3.8,Debit Card
Bike,645.0,48.61,6.1,18.5,4.1,4.9,UPI
Auto,103.0,16.49,7.8,25.3,4.1,3.2,UPI
Premier Sedan,189.0,27.58,10.9,19.9,4.2,4.1,UPI
Go Sedan,366.0,24.81,5.4,30.7,4.6,4.6,UPI
Go Mini,143.0,31.42,7.3,20.1,4.9,3.3,Cash
Bike,479.0,10.43,4.0,39.6,4.6,4.7,UPI
Auto,589.0,39.03,10.2,34.0,4.7,4.9,UPI
eBike,449.0,24.7,13.9,29.1,4.3,4.5,Cash
Go Mini,542.0,29.61,11.6,24.1,3.9,4.6,UPI
Bike,291.0,6.08,5.3,26.4,3.6,4.5,UPI
Go Sedan,205.0,2.92,12.9,30.4,4.2,4.7,UPI
Auto,603.0,36.64,12.7,30.4,4.3,4.6,Uber Wallet
Go Sedan,968.0,45.3,9.8,27.7,4.2,4.4,UPI
Go Mini,204.0,11.5,6.2,16.7,3.9,5.0,Uber Wallet
Auto,598.0,28.37,8.1,25.0,3.8,4.6,Cash
Auto,228.0,20.61,7.4,19.8,4.9,4.4,Cash
Go Sedan,223.0,28.69,2.4,39.3,4.3,4.7,UPI
Auto,521.0,37.81,4.4,39.3,4.2,4.4,UPI
Bike,227.0,19.0,12.4,30.9,4.3,4.1,Cash
Premier Sedan,3410.0,20.49,10.1,34.4,4.2,4.3,Cash
Premier Sedan,667.0,40.04,13.3,25.8,4.4,4.9,Uber Wallet
Bike,934.0,11.53,7.1,35.5,4.2,5.0,Cash
Auto,178.0,23.03,13.5,33.8,4.5,4.7,UPI
Go Mini,101.0,19.02,9.8,35.1,3.1,3.9,UPI
Bike,208.0,31.92,4.7,34.1,4.7,3.9,UPI
Uber XL,2370.0,44.19,3.0,16.3,4.9,4.3,Cash
eBike,301.0,28.11,13.1,43.8,3.8,4.6,UPI
Auto,992.0,48.3,6.6,23.2,4.2,3.8,UPI
Go Mini,472.0,37.13,12.4,32.5,3.8,4.2,UPI
eBike,1037.0,23.88,5.3,30.2,4.1,3.8,Uber Wallet
Bike,385.0,20.86,5.1,28.3,4.2,4.7,UPI
eBike,790.0,23.83,7.4,42.8,3.4,4.3,UPI
Go Sedan,636.0,21.66,7.6,30.1,4.3,4.3,Cash
Bike,313.0,19.84,14.1,37.8,4.2,4.2,Cash
Auto,239.0,48.03,8.7,26.5,4.2,4.8,Cash
Premier Sedan,759.0,6.8,10.0,26.2,3.6,3.6,Uber Wallet
Auto,229.0,25.04,3.8,27.5,4.2,4.9,UPI
Bike,384.0,14.17,4.5,33.4,4.0,4.3,Cash
Go Sedan,178.0,41.77,4.3,21.0,4.2,4.2,Uber Wallet
Premier Sedan,460.0,38.48,8.6,43.8,4.5,4.5,UPI
Auto,182.0,6.38,4.1,19.2,4.6,4.2,Cash
Go Mini,329.0,29.08,5.8,22.5,3.7,4.5,Debit Card
Bike,469.0,48.39,4.5,30.4,4.2,4.2,Uber Wallet
Auto,396.0,3.17,11.7,26.2,4.6,4.2,UPI
Premier Sedan,600.0,21.29,14.6,18.1,4.3,4.6,Cash
Go Mini,981.0,24.08,12.4,20.5,5.0,4.2,UPI
Go Sedan,950.0,30.54,9.2,38.2,4.2,4.3,Uber Wallet
Bike,685.0,17.75,14.1,17.1,3.5,3.4,UPI
Auto,285.0,10.97,13.3,15.9,4.3,4.2,UPI
Premier Sedan,78.0,25.03,11.2,32.8,4.2,4.1,UPI
Bike,100.0,34.36,12.3,29.5,4.2,4.8,Cash
Go Sedan,292.0,37.21,6.2,24.1,4.4,4.7,Debit Card
Bike,1406.0,29.7,4.5,25.5,4.5,4.3,Cash
Auto,224.0,41.55,7.7,31.9,4.1,4.7,UPI
Go Mini,315.0,10.21,10.9,21.4,4.6,4.2,Cash
Bike,1002.0,31.0,12.6,22.2,3.9,4.6,Cash
Bike,391.0,36.33,12.1,29.5,4.5,4.9,Uber Wallet
Auto,544.0,36.28,3.1,25.8,4.2,4.9,UPI
Go Mini,258.0,31.72,10.8,17.8,4.6,4.8,Cash
Auto,425.0,4.79,7.4,17.7,4.3,3.8,UPI
Bike,629.0,34.86,10.9,28.7,3.8,4.2,Debit Card
Go Sedan,853.0,32.95,8.9,23.5,3.9,3.8,UPI
Go Mini,179.0,4.93,12.0,20.1,4.3,4.9,Credit Card
Premier Sedan,372.0,36.48,11.4,26.5,4.2,5.0,Cash
Go Mini,67.0,15.65,14.6,24.8,4.2,4.6,Credit Card
Go Sedan,850.0,17.92,4.6,33.8,4.3,4.8,Uber Wallet
Go Sedan,327.0,18.6,3.1,23.1,4.3,4.5,Cash
eBike,95.0,27.02,13.6,31.2,4.7,4.5,UPI
Auto,337.0,3.62,4.5,40.2,4.4,4.4,Credit Card
Bike,167.0,39.23,7.1,32.1,4.3,5.0,Credit Card
Go Sedan,803.0,24.86,13.0,24.4,4.3,4.7,Cash
Go Mini,666.0,38.22,3.5,42.0,4.0,4.9,UPI
Auto,235.0,4.35,11.2,15.6,4.6,4.5,Cash
Premier Sedan,662.0,40.48,7.0,32.6,3.8,5.0,Uber Wallet
eBike,338.0,8.5,5.1,42.0,4.3,4.3,UPI
Bike,658.0,2.06,4.1,24.0,4.1,4.3,Credit Card
Premier Sedan,854.0,13.28,10.2,16.5,4.6,4.5,UPI
Auto,232.0,33.6,10.8,28.9,4.5,4.6,Cash
Auto,491.0,6.88,7.2,44.2,4.3,3.1,UPI
Uber XL,366.0,16.95,10.4,40.3,4.0,4.8,Cash
Go Sedan,248.0,8.81,4.5,34.8,4.5,4.2,Uber Wallet
Go Sedan,491.0,42.71,11.2,15.8,3.9,3.6,Cash
Premier Sedan,56.0,44.59,10.3,20.4,4.3,5.0,UPI
eBike,91.0,23.14,6.2,17.7,4.7,4.3,UPI
Go Sedan,325.0,29.15,13.3,32.4,4.7,4.9,UPI
Go Mini,223.0,22.17,11.6,35.9,4.3,4.9,UPI
Auto,174.0,6.5,11.7,36.3,3.9,4.9,Cash
Auto,97.0,48.11,5.8,15.2,3.7,4.1,Credit Card
Auto,302.0,45.46,6.7,35.9,4.7,4.6,Debit Card
Go Mini,406.0,26.47,5.5,18.2,4.2,4.6,UPI
Premier Sedan,219.0,26.54,12.7,31.4,4.4,4.3,UPI
Go Mini,181.0,10.08,3.1,18.6,4.2,3.9,UPI
Auto,986.0,8.77,2.1,23.5,4.5,5.0,UPI
Auto,600.0,39.3,5.8,34.2,3.4,4.1,Cash
Go Sedan,514.0,29.8,10.0,38.4,4.2,4.6,Cash
Go Sedan,588.0,13.03,12.6,30.4,4.9,3.7,Cash
Auto,340.0,9.86,9.4,23.3,4.3,4.9,Debit Card
Auto,451.0,26.96,11.5,20.4,3.2,4.3,Uber Wallet
Premier Sedan,370.0,13.58,13.3,34.4,4.5,4.3,Uber Wallet
Go Mini,262.0,14.54,3.3,19.3,4.4,4.6,UPI
eBike,268.0,8.39,4.3,32.3,3.7,4.6,UPI
Auto,840.0,6.77,6.9,40.6,3.4,4.2,UPI
Auto,335.0,30.76,10.8,33.2,3.7,5.0,UPI
Go Sedan,249.0,16.8,10.3,34.9,3.7,4.1,UPI
Bike,431.0,8.2,14.9,37.3,4.8,4.4,Cash
Premier Sedan,124.0,11.96,15.0,26.2,3.6,4.1,Uber Wallet
Go Sedan,508.0,31.07,11.7,36.2,3.9,4.6,UPI
Premier Sedan,541.0,31.68,8.2,18.3,5.0,4.9,Cash
Go Mini,586.0,25.15,12.2,32.9,4.3,4.7,Debit Card
Go Mini,805.0,10.03,6.9,37.6,4.6,4.7,UPI
Bike,271.0,15.36,5.5,21.3,4.7,4.9,Cash
Auto,958.0,21.29,2.2,34.2,3.2,4.7,Cash
Bike,221.0,19.75,12.7,17.0,4.2,4.1,UPI
Go Mini,132.0,31.92,11.4,37.6,3.1,4.3,Cash
Go Sedan,283.0,40.65,3.8,19.4,4.3,4.5,Credit Card
Uber XL,367.0,40.62,14.9,21.3,3.7,5.0,UPI
Auto,679.0,36.73,13.2,27.0,4.3,4.5,UPI
Bike,101.0,31.07,3.5,15.6,4.3,4.9,UPI
Auto,153.0,7.39,11.3,24.8,4.7,4.2,Cash
Go Mini,178.0,28.33,7.2,23.5,4.9,3.4,UPI
Go Mini,384.0,45.45,14.8,23.5,4.6,4.2,Cash
Go Sedan,290.0,47.22,9.1,40.9,4.5,4.1,UPI
Go Mini,458.0,40.81,8.1,36.7,4.7,4.3,UPI
Go Mini,154.0,21.21,11.3,24.9,4.6,4.4,Cash
Go Mini,230.0,12.94,3.6,24.9,3.1,4.6,UPI
Bike,596.0,16.75,7.8,36.1,4.2,4.3,Credit Card
Bike,783.0,4.1,3.5,21.9,4.1,4.2,Credit Card
Auto,403.0,16.06,11.0,16.4,4.4,3.8,Uber Wallet
eBike,60.0,35.15,9.9,22.4,4.6,5.0,Cash
Auto,611.0,37.17,10.0,37.8,4.9,4.8,Debit Card
Auto,313.0,11.63,13.6,43.5,3.7,4.3,UPI
Bike,85.0,17.35,11.4,34.5,4.7,4.2,UPI
Auto,575.0,27.83,5.7,27.6,4.4,4.9,Credit Card
Auto,155.0,14.72,6.2,43.3,4.3,4.6,UPI
Go Sedan,833.0,19.49,6.1,17.0,4.0,3.4,Debit Card
eBike,694.0,24.35,12.6,23.7,4.3,4.5,UPI
Premier Sedan,315.0,2.05,13.3,15.8,4.2,4.3,Cash
Go Mini,160.0,29.59,5.9,45.0,3.5,4.6,UPI
Go Sedan,410.0,16.39,13.5,33.9,3.1,4.3,UPI
Premier Sedan,251.0,5.02,9.4,43.2,5.0,3.2,Cash
Premier Sedan,533.0,30.76,6.5,37.6,4.1,4.9,UPI
Go Mini,515.0,3.0,12.5,32.1,4.3,4.4,Cash
Premier Sedan,346.0,4.24,3.9,16.4,4.1,4.3,UPI
Go Sedan,183.0,45.69,3.5,19.5,4.2,4.9,Uber Wallet
