fare_amount,distance_km,passenger_count,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,pickup_year
7.7,1.591786329935581,2,23,Friday,September,0,2009
22.1,8.686869976138079,1,7,Wednesday,June,0,2012
13.0,4.913275668454248,1,2,Friday,February,0,2014
6.5,1.7311195153179224,1,18,Tuesday,April,0,2012
24.83,6.519555040296802,2,21,Wednesday,February,0,2014
3.7,1.050552933008836,1,10,Tuesday,November,0,2011
14.5,3.6121173456243905,3,19,Thursday,September,0,2012
8.1,1.1658428754886057,4,14,Wednesday,May,0,2012
12.1,5.120973194801849,1,12,Monday,June,0,2011
21.5,6.811709462773862,1,18,Monday,December,0,2012
8.5,1.8650092304190578,2,23,Friday,December,0,2014
9.5,1.1493731516880894,1,9,Wednesday,May,0,2013
7.0,1.4754916051831786,2,19,Friday,April,0,2014
5.0,1.2253637662192,1,19,Sunday,May,1,2014
11.7,4.613633278724065,3,1,Saturday,January,1,2010
4.5,1.4119412571890433,2,20,Saturday,November,1,2010
10.1,3.3051110825554995,3,11,Saturday,November,1,2011
8.5,2.538117338252663,2,22,Wednesday,March,0,2014
4.9,1.5464265845939413,1,21,Wednesday,November,0,2011
8.9,4.018960738107249,1,14,Wednesday,August,0,2010
33.83,10.542538620200565,1,4,Friday,May,0,2013
8.1,2.32594111599471,1,17,Saturday,April,1,2012
5.3,1.3584427669644212,1,19,Wednesday,August,0,2012
11.0,2.7980837427590646,5,3,Saturday,June,1,2013
7.3,1.6841312547769152,1,12,Friday,March,0,2010
14.9,6.020681240552487,2,16,Thursday,July,0,2012
18.9,8.233523030073291,5,23,Sunday,December,1,2011
7.5,1.9745803886206397,1,21,Tuesday,May,0,2013
11.7,3.4017484914085494,1,13,Sunday,March,1,2011
6.1,1.366213435481735,4,0,Saturday,September,1,2011
56.8,19.826394561787613,1,19,Monday,October,0,2012
29.0,3.748874434204138,6,11,Monday,August,0,2013
12.9,3.7310635973718966,1,12,Tuesday,February,0,2011
3.5,0.6045825952775518,1,20,Sunday,June,1,2015
5.7,0.9158073045540126,1,14,Wednesday,March,0,2011
8.0,1.2032992262770965,6,19,Tuesday,December,0,2014
6.5,1.9416002525636245,1,16,Sunday,June,1,2014
6.0,1.2236255730537657,1,20,Wednesday,January,0,2013
10.5,4.4614242804964315,1,1,Saturday,February,1,2011
5.0,1.6033787939823068,1,18,Monday,February,0,2015
15.3,6.824238053384266,2,19,Wednesday,January,0,2012
10.1,2.750782294712558,1,0,Friday,August,0,2010
4.5,0.9094180271661133,1,19,Thursday,May,0,2013
8.1,2.481995003812009,1,10,Saturday,June,1,2012
10.5,2.6541856699212425,1,18,Monday,June,0,2015
4.5,0.6370761816470425,1,0,Wednesday,August,0,2010
25.0,6.544109056873828,2,21,Sunday,August,1,2013
5.7,1.4259798611548833,1,12,Tuesday,October,0,2011
4.1,1.0004464037593155,1,0,Thursday,September,0,2009
8.1,2.525860889976138,3,0,Thursday,April,0,2010
5.7,1.339803228007188,2,0,Thursday,August,0,2009
6.0,1.3127282670699465,1,0,Friday,March,0,2014
6.5,1.685938453721002,1,21,Thursday,September,0,2013
18.1,4.689423195506374,1,10,Wednesday,February,0,2012
8.5,3.40387151058766,1,11,Tuesday,December,0,2011
23.7,5.549538045351835,1,18,Thursday,July,0,2010
6.5,1.8939280738421203,1,14,Tuesday,November,0,2012
9.7,0.37696377209130016,1,10,Wednesday,September,0,2010
12.9,3.4627132420604063,5,8,Friday,March,0,2011
10.5,1.7970886096275958,2,22,Saturday,February,1,2013
20.9,8.002268972438607,5,21,Wednesday,January,0,2011
8.5,1.4090687159935433,2,9,Thursday,April,0,2011
8.5,3.3041209015836923,5,22,Wednesday,March,0,2012
57.3,9.472032741844984,1,16,Sunday,December,1,2012
3.5,0.5348436920488023,6,4,Saturday,March,1,2015
23.85,8.878514041644385,1,5,Sunday,June,1,2009
24.1,12.907777906208528,1,10,Monday,March,0,2011
6.5,1.4328111971433548,1,11,Friday,October,0,2011
12.0,3.8711303778767587,2,23,Monday,December,0,2012
17.0,4.869372353598167,1,17,Thursday,December,0,2014
5.0,0.7151619888956322,1,23,Saturday,December,1,2012
13.5,3.4130857710483484,1,10,Saturday,June,1,2015
23.07,6.933832154624163,1,18,Wednesday,January,0,2010
9.7,3.35063595616334,5,23,Tuesday,December,0,2011
6.1,0.4989957705217912,2,12,Sunday,September,1,2010
7.3,1.4473399944187852,1,21,Friday,May,0,2009
5.7,0.9310084107575352,1,0,Wednesday,May,0,2009
13.0,4.542252380253257,1,13,Sunday,February,1,2015
31.7,17.141262300641703,1,5,Friday,January,0,2012
49.8,21.219854619458143,1,14,Wednesday,July,0,2011
4.0,0.8196439433420414,1,5,Tuesday,June,0,2013
19.5,6.215451179016407,2,21,Saturday,June,1,2013
3.7,0.6583542195942689,1,13,Friday,October,0,2009
6.9,2.0018284141341605,1,7,Wednesday,August,0,2011
5.7,1.313152321254602,2,1,Saturday,October,1,2009
11.8,5.423216806051661,3,0,Saturday,January,1,2009
49.57,0.005937641257715407,5,14,Sunday,July,1,2010
6.1,1.4846085236531597,3,19,Sunday,August,1,2011
11.0,3.268413444817634,1,23,Tuesday,June,0,2013
10.0,2.693382568676107,6,20,Thursday,April,0,2014
3.7,0.7736936741599973,1,13,Thursday,June,0,2010
6.5,1.1112518512847682,2,17,Wednesday,July,0,2013
5.7,1.4191840810598664,1,15,Wednesday,June,0,2011
4.9,1.0450122176838406,4,9,Friday,September,0,2010
8.0,1.843029500685452,1,21,Wednesday,February,0,2013
21.3,5.711356125155652,1,12,Friday,June,0,2010
6.0,1.2811539065334852,1,13,Wednesday,September,0,2014
13.7,5.4995432390714445,4,21,Thursday,February,0,2012
11.0,2.325987873927059,1,12,Thursday,December,0,2013
6.1,1.5601936350722618,3,23,Saturday,January,1,2012
7.3,1.1009734781721767,1,11,Wednesday,January,0,2011
6.1,1.509902253585719,1,12,Tuesday,January,0,2012
12.9,4.329946208333398,1,12,Saturday,March,1,2010
10.1,3.212059009797461,1,2,Saturday,September,1,2011
11.3,5.418107745388001,1,7,Wednesday,July,0,2011
6.5,1.3044964684456024,2,17,Saturday,July,1,2014
7.3,1.2644193929113425,1,17,Thursday,December,0,2010
12.9,4.548352561129973,1,18,Saturday,October,1,2010
6.6,1.5142008368645758,4,2,Sunday,February,1,2009
7.0,1.5141309326564603,4,9,Thursday,November,0,2014
7.7,0.844062515276678,2,20,Wednesday,December,0,2011
9.7,2.6105922330730453,1,18,Friday,January,0,2009
10.1,3.2769477250751793,1,19,Monday,May,0,2011
10.9,3.9305826851829675,5,18,Monday,March,0,2011
8.5,3.487918944940646,1,0,Monday,January,0,2012
8.5,2.1284964357749967,1,16,Saturday,January,1,2014
7.5,1.5286146579141384,6,11,Friday,October,0,2014
8.0,3.1763561347977,1,22,Thursday,April,0,2014
23.7,8.536711086972778,1,20,Friday,July,0,2011
25.3,5.030223346371754,1,20,Wednesday,September,0,2010
15.3,6.998341342936347,1,9,Saturday,August,1,2011
6.1,1.2313629095824907,1,18,Thursday,August,0,2009
8.5,1.9398013651359725,1,17,Saturday,May,1,2010
44.3,9.168220006401999,2,16,Friday,November,0,2012
16.5,5.400537562821499,1,3,Saturday,February,1,2014
3.3,0.9045566581240875,1,14,Friday,April,0,2010
5.3,1.1100226040344905,1,20,Thursday,October,0,2009
13.5,3.777991278813968,1,19,Thursday,May,0,2014
9.3,2.628180233741712,1,9,Wednesday,September,0,2009
3.3,0.5708005459998338,1,11,Monday,June,0,2009
28.0,7.968675748581928,1,19,Friday,March,0,2015
28.0,7.270771977158887,1,13,Thursday,October,0,2013
6.5,0.6918770522569211,3,12,Friday,August,0,2014
6.1,1.5546781809670847,1,11,Tuesday,April,0,2011
8.1,1.252057212503186,3,13,Thursday,December,0,2010
12.5,4.470140588121243,6,1,Saturday,September,1,2014
18.5,9.045506914000322,1,15,Tuesday,March,0,2009
26.5,8.79303877905131,1,18,Sunday,July,1,2014
3.7,0.6352985979107296,1,22,Tuesday,July,0,2010
12.0,2.8582132285497592,1,23,Thursday,July,0,2014
8.0,2.119248979386892,1,19,Tuesday,October,0,2013
17.5,4.174570732880362,2,11,Friday,March,0,2015
11.0,4.60174535553637,2,23,Monday,May,0,2013
4.9,0.8169033071421599,1,13,Tuesday,July,0,2011
4.0,0.4418238967462916,2,18,Monday,August,0,2013
38.1,10.509841774400893,1,10,Wednesday,August,0,2011
20.9,7.944477969910482,6,18,Saturday,November,1,2011
12.0,4.570662817884686,2,0,Sunday,November,1,2014
10.5,2.514553088073715,6,17,Sunday,May,1,2015
12.5,3.9281882268783344,6,21,Sunday,June,1,2015
8.0,3.2115539731071174,1,2,Thursday,November,0,2012
6.5,0.8511603956678613,1,19,Thursday,March,0,2015
7.3,3.06484480038567,1,18,Sunday,January,1,2012
4.9,0.9888492902005676,1,7,Tuesday,December,0,2011
9.7,3.6942620390614507,5,12,Tuesday,November,0,2011
8.1,1.2632416864261822,1,15,Tuesday,July,0,2012
8.0,0.4864366074502776,1,13,Thursday,September,0,2013
6.5,1.1613416636955356,5,18,Wednesday,April,0,2012
3.5,0.6425027085647497,2,16,Tuesday,October,0,2014
7.5,1.7185521716442285,3,14,Sunday,December,1,2012
5.3,1.5340979404225088,1,12,Tuesday,September,0,2009
17.0,4.619566977613753,1,1,Saturday,February,1,2014
4.1,0.6185436702931257,3,11,Monday,July,0,2011
6.5,1.879144429384612,1,21,Sunday,January,1,2012
5.7,1.102682887001488,1,20,Saturday,June,1,2011
11.0,1.3775250075552268,3,9,Monday,October,0,2012
6.1,2.1515012924690824,3,21,Monday,April,0,2010
9.3,2.6082409944423994,1,15,Thursday,July,0,2010
6.5,1.675769304912915,1,19,Monday,January,0,2014
12.0,1.8435079948832245,1,18,Friday,November,0,2012
7.3,3.2456304451472215,1,10,Sunday,April,1,2011
14.5,4.8527286845616615,1,19,Friday,November,0,2012
16.1,6.7627804730885845,4,23,Friday,July,0,2010
6.5,1.9001875073526893,1,14,Saturday,December,1,2011
12.1,5.684877902472375,1,19,Sunday,December,1,2009
10.5,2.3156614004997604,1,10,Wednesday,January,0,2015
11.5,3.659014245903617,5,8,Wednesday,September,0,2012
10.5,2.128656595970122,1,8,Thursday,October,0,2009
4.9,0.5553994989252706,1,7,Monday,August,0,2012
17.3,5.5237963775732375,1,23,Wednesday,June,0,2010
49.8,21.821991284933958,1,23,Tuesday,July,0,2011
10.1,2.8307398695910755,1,12,Monday,November,0,2009
6.9,2.4769703297842773,1,19,Tuesday,June,0,2011
7.3,1.8548114820186556,1,1,Thursday,May,0,2010
2.9,0.13969760790251445,2,20,Friday,April,0,2012
2.9,0.19074010445629322,1,18,Wednesday,May,0,2010
9.5,3.609848026140532,1,21,Tuesday,August,0,2013
18.0,6.183771329326407,5,22,Thursday,October,0,2014
17.7,7.267034158441526,2,19,Saturday,December,1,2009
4.9,1.5128327209530705,1,7,Monday,August,0,2012
6.0,1.911034529851849,1,0,Saturday,May,1,2015
6.5,1.0708114293616007,4,14,Saturday,May,1,2015
6.9,1.949754955473726,1,16,Thursday,October,0,2010
6.1,1.2872868077132429,1,15,Monday,March,0,2010
6.5,1.8613978185774664,1,1,Saturday,March,1,2014
7.0,1.8865648167494293,1,23,Monday,December,0,2012
8.9,4.352402930369919,2,23,Friday,February,0,2011
9.0,1.457830385292046,1,18,Thursday,August,0,2013
16.0,4.413141299513235,2,23,Tuesday,July,0,2013
12.0,1.5084959571410497,1,7,Wednesday,December,0,2012
8.9,3.5864890479042644,1,18,Friday,January,0,2009
28.83,7.502608077887066,1,22,Friday,January,0,2015
5.3,1.1921857022626516,5,8,Tuesday,September,0,2009
7.5,1.2122691401418078,1,13,Tuesday,May,0,2015
7.3,1.4684107258341448,2,1,Sunday,January,1,2012
12.1,4.038140824242802,1,19,Friday,August,0,2009
21.0,7.187082518718266,2,20,Tuesday,July,0,2014
4.9,1.3565905471043982,1,6,Thursday,September,0,2010
20.0,6.070780935708778,2,16,Saturday,September,1,2013
7.0,1.3585586187873593,1,16,Monday,February,0,2015
11.0,2.1972294121909646,1,18,Tuesday,July,0,2014
6.1,0.5288654129385841,1,0,Thursday,August,0,2009
5.3,1.439553107952186,1,16,Wednesday,September,0,2011
7.7,1.4110281235514328,5,15,Tuesday,May,0,2011
4.5,0.5992649534578658,5,13,Thursday,March,0,2009
8.5,1.4477948366296205,5,15,Thursday,April,0,2013
16.5,5.167844997038465,1,11,Thursday,January,0,2013
14.5,4.139152543942022,2,0,Wednesday,July,0,2011
10.1,4.4955454320346195,1,23,Saturday,August,1,2010
10.5,4.236767091121081,1,21,Wednesday,April,0,2013
12.0,3.7820774418915892,1,12,Thursday,November,0,2013
2.5,0.2908950769313755,1,22,Thursday,February,0,2013
6.5,1.6668222663440266,3,7,Monday,December,0,2013
9.5,3.1511881756196125,1,15,Wednesday,May,0,2013
7.5,1.7777382738961012,4,1,Sunday,December,1,2014
4.5,0.9201854986541349,1,21,Tuesday,April,0,2012
64.0,3.599898200824873,1,22,Sunday,February,1,2014
20.5,8.432971668047262,1,15,Wednesday,May,0,2014
70.0,12.27753534752678,1,13,Monday,March,0,2014
5.3,0.9857628687452168,1,4,Saturday,October,1,2009
9.0,1.634708139960254,1,13,Thursday,September,0,2013
22.5,6.8562031046128,1,23,Sunday,March,1,2014
4.1,0.8198074622979017,1,22,Thursday,August,0,2010
3.7,0.6143325451510941,1,10,Thursday,August,0,2011
7.3,1.430731180876471,1,19,Wednesday,August,0,2012
10.0,1.8241656902984258,1,17,Wednesday,November,0,2014
4.9,0.8663246226078425,1,17,Wednesday,December,0,2009
5.0,0.9255805437559482,3,20,Friday,October,0,2013
21.0,7.852236344403872,2,20,Tuesday,March,0,2015
4.5,1.014055342929879,1,20,Friday,October,0,2013
11.8,3.156653556961808,1,22,Saturday,February,1,2009
4.1,0.9197267062404157,1,6,Tuesday,October,0,2010
12.1,4.597728713766121,1,9,Wednesday,July,0,2010
7.0,2.3648434255797044,1,2,Thursday,February,0,2009
5.3,0.8916452497279125,1,14,Wednesday,July,0,2009
7.7,2.4586490488418797,1,20,Tuesday,January,0,2012
4.0,0.5020842214624415,1,19,Saturday,June,1,2013
14.9,6.242152266141754,1,15,Wednesday,February,0,2011
19.0,3.3800618226324355,5,1,Friday,June,0,2014
8.0,2.6076605653515075,1,21,Monday,June,0,2013
7.0,1.4860261566993433,1,20,Monday,December,0,2013
6.5,1.9143929316057944,1,10,Monday,May,0,2011
38.33,10.157808111698385,3,22,Thursday,March,0,2015
11.3,4.123549903849475,2,1,Sunday,January,1,2012
7.0,1.7568118744293535,2,0,Tuesday,April,0,2015
45.0,18.77723541112455,1,18,Tuesday,April,0,2013
12.9,3.8275836541782877,2,12,Wednesday,November,0,2011
8.3,2.287358829938568,2,16,Wednesday,February,0,2009
4.9,1.0748191730801633,1,6,Tuesday,February,0,2010
5.3,1.2367883272464772,1,13,Wednesday,March,0,2011
7.0,1.135865849552243,1,23,Tuesday,May,0,2013
4.1,0.5635727831261124,2,13,Sunday,July,1,2010
13.0,2.8495177986684377,3,18,Friday,April,0,2015
16.5,6.380354499808548,3,17,Saturday,October,1,2012
4.5,1.017074518313676,2,20,Tuesday,October,0,2009
22.0,7.101097730249881,1,12,Wednesday,June,0,2014
4.5,1.1846823864538283,1,23,Saturday,May,1,2010
5.7,1.7758350069379818,1,9,Tuesday,March,0,2010
57.33,20.7457714504845,2,14,Tuesday,July,0,2014
4.5,0.9597087492548261,1,20,Friday,November,0,2009
57.33,20.243599071462338,6,18,Sunday,June,1,2014
12.0,4.3009019950333025,6,9,Saturday,December,1,2012
14.5,3.774696420296147,1,15,Tuesday,March,0,2013
5.3,0.907499980201945,1,17,Tuesday,January,0,2011
11.7,3.6689645517368485,1,18,Friday,July,0,2012
4.9,2.0622921586429266,2,8,Sunday,September,1,2012
18.5,3.2220919939231902,1,12,Friday,April,0,2015
17.5,3.7562052600793563,1,19,Friday,April,0,2013
10.5,2.6190582626211643,1,13,Thursday,October,0,2013
7.3,2.702013203181502,1,12,Monday,August,0,2011
5.0,1.1433085409147623,1,23,Friday,June,0,2015
5.0,1.0156666495558462,5,8,Sunday,April,1,2013
6.9,1.2161330607861547,1,15,Saturday,November,1,2009
7.3,1.0815461228816665,2,14,Thursday,March,0,2012
7.0,1.6435923439585851,2,19,Tuesday,May,0,2013
39.7,12.295922952245622,1,2,Wednesday,September,0,2011
4.9,1.284529098153776,1,19,Saturday,February,1,2011
8.5,0.8109567816280839,1,15,Friday,January,0,2015
14.9,4.523748248462121,1,17,Friday,July,0,2012
6.9,1.0552136825823113,2,23,Friday,September,0,2009
5.3,0.854004888884512,1,14,Sunday,July,1,2011
11.7,4.479228375694919,2,3,Sunday,March,1,2010
4.1,0.8050508831471415,1,8,Friday,August,0,2011
9.0,2.9283942504410065,1,0,Saturday,October,1,2012
8.1,5.136017348785751,2,21,Tuesday,August,0,2010
4.0,0.6067399061997062,1,23,Tuesday,April,0,2015
11.5,2.1778115701341743,1,12,Wednesday,June,0,2014
18.5,3.3693035180606,1,11,Friday,September,0,2012
17.0,6.763703626765086,1,21,Wednesday,May,0,2013
5.7,0.9241277906580702,1,19,Friday,August,0,2011
14.5,3.066159802595218,3,12,Tuesday,May,0,2014
7.0,1.4107710496088965,1,7,Friday,March,0,2014
5.5,1.239777004327862,1,6,Monday,June,0,2015
25.3,10.367010833621226,1,21,Sunday,January,1,2010
13.3,7.432965165852176,3,8,Sunday,May,1,2009
33.7,12.677801287471985,1,21,Monday,January,0,2012
5.7,1.6946996826625345,1,14,Monday,November,0,2009
4.5,0.8163475130640464,1,8,Thursday,August,0,2013
7.3,1.7965286978679251,1,17,Wednesday,October,0,2011
13.7,4.693517713070685,1,10,Tuesday,May,0,2011
3.7,0.6563791387608765,1,15,Tuesday,August,0,2011
8.1,1.1632776050507552,1,18,Friday,April,0,2010
8.9,2.0987370363266753,5,8,Thursday,April,0,2011
11.3,2.968704285125721,1,12,Monday,June,0,2012
13.0,2.2777159708823795,1,19,Saturday,November,1,2013
11.7,3.8368254729004234,1,18,Monday,May,0,2011
13.7,5.820030993278589,1,23,Saturday,February,1,2010
6.9,1.0497367693350907,1,18,Saturday,February,1,2009
10.5,4.1895144483222655,1,23,Thursday,August,0,2010
7.7,1.5579902805362444,1,23,Thursday,December,0,2011
4.9,0.8687154521521501,1,12,Thursday,September,0,2010
10.5,3.5719457819816607,1,13,Saturday,March,1,2013
9.5,8.275923437924709,1,12,Sunday,April,1,2013
8.9,3.7493872211287944,1,20,Wednesday,December,0,2009
4.5,0.7025878288766725,1,8,Tuesday,March,0,2012
17.5,1.7179476000015201,1,12,Wednesday,May,0,2013
16.9,4.837480072591605,1,3,Monday,August,0,2012
6.1,1.3113785473433204,5,7,Monday,October,0,2010
10.5,2.254343536121723,2,14,Thursday,June,0,2014
6.5,1.6650310917209825,1,16,Thursday,April,0,2012
11.3,4.947555060783419,3,11,Sunday,May,1,2011
10.1,3.763366556469526,1,11,Sunday,June,1,2009
8.5,2.212736120818369,1,10,Saturday,October,1,2013
7.5,1.5873413343261837,1,13,Monday,January,0,2013
12.9,7.134075791649438,1,6,Friday,June,0,2011
12.9,3.2516238781837843,1,11,Tuesday,October,0,2011
5.3,0.7512615533316785,1,8,Wednesday,April,0,2012
2.5,0.024915801965044854,3,16,Saturday,July,1,2009
9.7,2.5553935706881443,2,2,Sunday,January,1,2011
8.0,1.7305608324626987,1,23,Monday,April,0,2015
37.33,10.71441452697334,1,13,Thursday,October,0,2013
10.5,0.07752735576553316,1,9,Monday,August,0,2012
16.9,8.109560709318933,2,19,Monday,May,0,2010
8.5,2.293051209252528,1,11,Monday,December,0,2014
46.04,13.39444138691836,4,16,Sunday,May,1,2015
10.5,5.052921171940494,1,22,Sunday,April,1,2011
6.0,1.311867751858564,1,11,Tuesday,August,0,2013
9.7,3.0794541285793127,3,23,Wednesday,June,0,2012
6.0,1.188539045810621,1,20,Saturday,November,1,2012
7.5,1.4102039233784411,1,23,Tuesday,March,0,2015
6.1,2.0079198517554264,2,14,Friday,September,0,2011
4.0,0.5047968457483186,1,7,Monday,July,0,2013
6.1,1.7768275435927219,1,20,Wednesday,February,0,2011
9.7,3.4620626464584205,1,7,Friday,January,0,2010
16.0,4.426328798293589,1,22,Monday,September,0,2014
8.5,1.6715402718895664,1,14,Saturday,February,1,2009
3.5,0.8254062334302789,1,16,Tuesday,June,0,2013
13.7,5.032973404495909,1,6,Tuesday,June,0,2009
21.5,4.422509726659725,2,21,Saturday,December,1,2014
15.3,1.5202687752013002,5,15,Tuesday,June,0,2012
9.3,1.9881781044401183,1,14,Wednesday,January,0,2010
8.9,3.777070302020119,3,0,Saturday,January,1,2012
10.0,1.4008129253044863,2,14,Friday,February,0,2015
11.5,3.874627826240198,2,15,Wednesday,June,0,2015
10.1,3.2826649278264806,1,8,Wednesday,May,0,2009
9.7,2.5504286590461382,1,19,Saturday,October,1,2009
15.5,4.050287689840862,1,18,Sunday,May,1,2015
5.7,1.5340569421610466,1,8,Friday,October,0,2009
8.1,2.352725543810699,2,8,Wednesday,July,0,2012
11.0,2.5810008570244287,1,15,Wednesday,June,0,2013
24.0,6.931229103854069,1,11,Monday,January,0,2014
6.5,1.605106289257938,2,21,Wednesday,April,0,2014
8.5,2.8940076750083903,1,20,Sunday,May,1,2009
3.5,0.018094605647971662,4,0,Wednesday,September,0,2012
26.5,13.719081061793585,1,17,Thursday,December,0,2010
3.5,5.322373945875719,4,20,Sunday,August,1,2014
4.5,1.1747603468252255,1,17,Friday,March,0,2014
14.9,5.064127075711882,1,11,Tuesday,May,0,2009
26.25,9.769272212343742,5,20,Tuesday,March,0,2009
17.3,7.164158331628261,1,13,Monday,June,0,2012
8.5,2.4072223243568267,1,21,Tuesday,February,0,2014
9.0,1.90250160552002,1,9,Tuesday,July,0,2013
5.0,0.9003920797921339,5,22,Tuesday,February,0,2014
16.5,6.112570885946126,6,7,Thursday,April,0,2014
9.7,1.2165893033846795,1,9,Monday,July,0,2010
14.5,3.809300902403299,1,4,Sunday,May,1,2012
8.1,2.042740834782283,3,14,Monday,August,0,2011
11.0,1.4807547671174996,1,13,Tuesday,May,0,2013
28.5,13.44774878980562,1,16,Tuesday,December,0,2009
18.1,5.794579673804726,1,17,Friday,November,0,2011
20.0,3.5936207888961627,2,16,Tuesday,December,0,2012
45.0,20.699375327310676,1,6,Friday,August,0,2012
4.9,1.2050929669231605,6,23,Sunday,May,1,2012
6.9,2.5485116060309565,1,15,Monday,February,0,2010
16.1,8.221046712002417,1,7,Tuesday,May,0,2012
8.9,2.422695407063861,2,10,Monday,June,0,2010
6.5,1.3765437855311686,1,15,Saturday,May,1,2012
17.5,6.390436256845557,1,23,Tuesday,September,0,2014
5.5,0.9777562532473222,1,7,Tuesday,October,0,2014
8.9,2.941785363788083,1,15,Tuesday,December,0,2011
9.7,3.937510154727804,2,21,Wednesday,August,0,2012
17.3,7.211937737453985,1,18,Friday,April,0,2012
5.3,1.5440190130425961,1,19,Wednesday,May,0,2010
12.9,5.4008643694088665,1,4,Saturday,February,1,2009
6.0,0.6824858647781934,1,21,Saturday,April,1,2013
4.5,1.5288150034557744,1,3,Sunday,March,1,2012
4.9,1.18196456703198,1,18,Monday,September,0,2010
6.5,2.0111056164330066,1,7,Monday,March,0,2012
6.9,0.9208932772383739,1,16,Sunday,April,1,2012
8.5,2.519926323745146,1,20,Monday,October,0,2013
3.7,0.8568783048525636,1,21,Sunday,October,1,2009
17.5,5.447810295092074,3,0,Saturday,November,1,2012
8.1,1.8539145507449077,1,19,Wednesday,May,0,2012
4.5,0.702699244360178,1,23,Friday,March,0,2014
7.0,1.444619967691862,1,13,Sunday,December,1,2012
6.5,1.9794050090359288,1,8,Tuesday,September,0,2011
19.7,8.159486690604073,2,19,Wednesday,July,0,2009
8.9,2.7576750308480418,1,21,Wednesday,August,0,2009
3.5,0.6744240823211236,1,21,Tuesday,October,0,2013
8.1,2.9615521646749654,1,22,Sunday,November,1,2010
8.5,2.6158283018340502,3,16,Monday,November,0,2009
16.5,3.6878945986129748,1,0,Tuesday,August,0,2011
8.5,2.102834938353315,1,12,Wednesday,June,0,2011
4.5,0.7430367086253183,1,11,Saturday,September,1,2011
16.0,2.9493709975777467,1,0,Thursday,August,0,2014
21.5,8.595585312263358,1,2,Tuesday,March,0,2015
6.5,2.83138235908237,1,16,Saturday,August,1,2010
7.3,0.7173678649123347,3,17,Thursday,December,0,2010
4.5,0.8608279866827938,5,8,Monday,May,0,2010
5.3,1.1610567815990878,5,21,Sunday,January,1,2012
6.1,0.9213139435075521,2,8,Wednesday,February,0,2011
7.5,1.4485295654822723,1,8,Thursday,July,0,2014
5.3,1.260953961250609,1,11,Monday,November,0,2010
5.7,1.3013969528463056,5,13,Wednesday,May,0,2011
22.27,9.212566209157467,1,19,Monday,May,0,2010
4.9,0.7344608158336312,1,16,Friday,May,0,2009
11.3,4.080866771535292,2,9,Friday,March,0,2010
32.33,5.666234584675753,1,14,Saturday,February,1,2015
6.1,1.3056751018235682,1,18,Monday,January,0,2011
18.0,6.033416899285403,5,17,Saturday,September,1,2014
4.9,1.0741399322987712,5,20,Tuesday,February,0,2012
15.0,5.325694331488085,1,8,Thursday,October,0,2012
7.7,2.690394366242364,1,11,Saturday,July,1,2012
7.3,1.623631474781888,2,21,Friday,December,0,2010
10.9,1.8222035562021288,1,8,Tuesday,June,0,2010
20.5,6.988465887960729,1,23,Wednesday,October,0,2011
5.5,0.698125865963256,1,0,Saturday,December,1,2013
4.9,1.0331187111353584,2,16,Friday,August,0,2011
15.5,3.620477293488868,1,16,Friday,May,0,2014
6.5,1.4203606888775204,1,20,Monday,April,0,2015
4.0,0.5301723935188534,1,13,Thursday,March,0,2013
10.1,5.106718606885046,1,20,Sunday,March,1,2010
5.0,1.5554589018051383,1,11,Thursday,February,0,2015
5.0,0.8159274948279939,1,19,Tuesday,April,0,2013
6.5,1.8935353501639967,1,19,Monday,December,0,2010
9.0,2.488563681171652,5,11,Sunday,December,1,2013
7.0,1.7122688891870779,1,19,Thursday,February,0,2015
12.5,5.408663807611163,1,21,Friday,November,0,2010
13.0,4.346718568764863,1,22,Saturday,February,1,2014
4.1,0.9212550431671899,1,13,Saturday,March,1,2010
5.3,1.3832026855204913,2,0,Saturday,July,1,2011
10.5,2.4936645623917726,2,15,Saturday,May,1,2014
13.5,2.3150475209172052,1,18,Thursday,April,0,2013
5.3,0.7712396826750124,2,22,Saturday,January,1,2010
7.5,1.724125252942011,2,13,Sunday,June,1,2014
14.5,5.446367020037086,1,3,Saturday,September,1,2013
7.5,1.8263709191409623,1,4,Saturday,August,1,2014
6.5,1.1006576631749632,1,21,Tuesday,October,0,2012
10.5,5.4776590026506575,1,0,Friday,January,0,2010
7.3,1.1276959197394503,1,8,Wednesday,March,0,2010
25.0,8.511415641457823,1,18,Monday,December,0,2013
6.9,1.8314355024315683,1,23,Saturday,September,1,2009
10.5,1.5171266212069532,1,18,Monday,June,0,2014
5.3,3.8672817628278495,1,19,Friday,January,0,2010
2.5,0.03190211419772086,1,19,Thursday,May,0,2011
11.5,3.5771538680784234,1,18,Friday,December,0,2012
6.9,2.833374187791586,1,19,Tuesday,November,0,2011
15.3,7.030750121446198,1,3,Saturday,January,1,2012
7.7,1.2424434847134638,6,15,Thursday,July,0,2011
7.7,1.7044196034978558,1,13,Friday,February,0,2011
6.9,2.140072527574668,5,14,Tuesday,January,0,2011
4.9,0.9894209009449232,1,7,Thursday,October,0,2010
13.5,3.5616536192865142,2,18,Tuesday,April,0,2015
8.5,2.9929498883281402,1,10,Thursday,February,0,2011
8.9,3.1355806507944215,1,19,Monday,November,0,2010
6.1,1.0230829209943055,1,18,Friday,March,0,2012
11.5,1.9763176975357888,1,18,Friday,May,0,2015
